Name,Price,Seller,Image
Laptop Lenovo IdeaPad 5 Pro 16ARH7 82SN003KVN (R7-6800HS 16GB 512GB GeForce RTX 3050 4GB 16' WQXGA 120Hz Win 11) Hàng chính hãng,32990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/c5/61/0b/5daa83d4934758d7efa2dca9214ed983.jpg
Laptop Lenovo IdeaPad Gaming 3 15IAH7 82S90088VN (Core i5 12500H/16GB/512GB SSD/RTX 3050Ti/15.6 inch FHD/Win 11/Xám/2Y)- Hàng chính hãng,23990000,CIVIP Technology,https://salt.tikicdn.com/cache/280x280/ts/product/d8/b6/93/4b256646106bcb99fac5511720baa2c8.jpg
Laptop Gigabyte AORUS 15P YD-73S1224GH i7-11800H|16GB|GeForce RTX 3080 8GB|15.6' FHD 240Hz Hàng chính hãng,73990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/01/82/bc/6669f05d30911bc76d56e80e77425434.jpg
"Laptop Acer Nitro 5 AN515 57 5669 i5 11400H/8GB/512GB/4GB GTX1650/15.6""F/144Hz/Win11/(NH.QEHSV.001)/Đen - Hàng chính hãng",21840000,GIA DỤNG VIỆT,https://salt.tikicdn.com/cache/280x280/ts/product/2c/20/34/a1c6d304a0c7bfe3866b9c2397198122.png
"Bàn phím cơ gaming 5TECH Led RGB 10 chế độ nháy cực đẹp, chơi game gõ siêu đã, thiết kế nhỏ gọn dùng cho máy tính, laptop hàng chính hãng",349000,Gomall,https://salt.tikicdn.com/cache/280x280/ts/product/cc/dc/3d/a988d1e5df285d059059cd769c9ef3ac.jpg
"Sạc dành cho Laptop Gaming MSI GL72M 7RDX 7RDX-699 7RDX-800, GL72M 7REX 7REX-820",789999,Đạt Khang Network,https://salt.tikicdn.com/cache/280x280/ts/product/63/b2/4e/f51d5648e27bb568c594868fd99ef1e7.jpg
Laptop HP Gaming VICTUS 16-d1193TX (7C138PA) (i5-12500H/8GD5/512GSSD/16.1FHD@144Hz/WL/BT/4C/4G_RTX 3050/LEDKB/W11SL/ĐEN) Hàng chính hãng,23990000,CIVIP Technology,https://salt.tikicdn.com/cache/280x280/ts/product/6c/52/30/6d8303a4dc56dc67588d11c4a6d84a2f.jpg
Laptop HP Gaming VICTUS 16-d1191TX (7C0S5PA) ( i5-12500H/16G/512GSSD/16.1FHD@144Hz/WL/BT/4C/4G_RTX 3050ti/LKB/W11SL/XANH) Hàng chính hãng,25890000,CIVIP Technology,https://salt.tikicdn.com/cache/280x280/ts/product/8e/3d/e9/cd5ee2ffae9672d0f95de2b199dc546e.jpg
Laptop HP VICTUS 16-e1107AX (7C140PA) (R5-6600H | 8GB | 512GB | GeForce RTX 3050 4GB | 16.1' FHD 144Hz | Win 11) Hàng chính hãng,20990000,HP HCH STORE,https://salt.tikicdn.com/cache/280x280/ts/product/de/ab/c9/41e29d4f95cf7208c0c82e12ae22df69.jpg
Laptop HP Pavilion X360 14-ek0134TU 7C0P8PA i5-1235U | 8GB | 512GB | 14' Touch Hàng chính hãng,19670000,HP Flagship Ben Computer Store,https://salt.tikicdn.com/cache/280x280/ts/product/05/ef/12/3e057147955a1e70916f1c122e343a82.jpg
Laptop HP Victus 16-e1102AX 7C139PA (R7-6800H | 16GB | 512GB | GeForce RTX 3050Ti 4GB | 16.1' FHD 144Hz | Win 11) Hàng chính hãng,27390000,HP HCH STORE,https://salt.tikicdn.com/cache/280x280/ts/product/7e/7a/69/e1e62898e90c4badd61a313267effbfb.jpg
Laptop Lenovo Legion 5 15IAH7 82RC003WVN |i5-12500H|8GB|512GB|RTX 3050 Ti|Win11- Hàng chính hãng,33690000,Lenovo Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/ec/6c/96/1f61dedad26afa4404ce3491480d4c13.jpg
